bhk,price,size,location
3,45,1500,CHRISTIAN BASTI
3,78.79,1751,LAL GANESH
2,31.5,750,BORAGAON
2,50,1100,BAGHARBARI
3,65.2,1630,BELTOLA
3,49.96,1249,AHOM GAON
4,64,1400,BAMUNIMAIDAM
2,40,900,KAHILIPARA
3,65,1300,BELTOLA
3,74.25,1650,SIX MILE
3,56.3,1320,KAHILIPARA
4,256,3425,REHABARI
1,32,660,SIX MILE
3,65,1300,LOKHRA
2,42.5,860,LAL GANESH
3,59.5,1150,KAHILIPARA
2,47,1023,BELTOLA
3,36,850,JYOTIKUCHI
3,66.73,1405,BAMUNIMAIDAM
3,51,1150,SARANIA HILLS
3,65,1300,SIX MILE
3,64,1030,GANESHGURI
3,65.2,1630,BELTOLA
2,34.44,861,AHOM GAON
4,77.5,1350,KAHILIPARA
2,43,1000,SACHAL PATH VIP ROAD BYLANE NUMBER 1
2,64.8,909,CHANDMARI
2,47,1150,NOONMATI
3,80,1380,ULUBARI
3,99,1990,DISPUR
3,73.68,1842,BELTOLA
3,45.56,1114,AHOM GAON
3,61.36,1180,BELTOLA
3,70,1444,SARUMOTORIA
3,66,1400,SOUTH SARANIA ROAD
3,65,1350,DOWNTOWN
4,65,1800,JATIA
3,92.95,1430,ATHGAON
2,31,849,DHARAPUR
3,72.5,1450,BAMUNIMAIDAM
2,53,1064,RADHA NAGAR
3,51.5,1264,BAMUNIMAIDAN
2,33,953,DHARAPUR
1,20,431,LOKHRA
3,45,1400,CHRISTIAN BASTI
2,43,1020,GHORAMARA
3,58.55,1050,CHANDMARI
4,72,1810,DHARAPUR
3,62.28,1450,DHARAPUR
4,126,1440,ZOO TINIALI
2,37,750,LOKHRA
3,55,1300,BORBARI
3,74,1453,SIX MILE
2,42.3,940,LAL GANESH
2,50,913,SARUMOTORIA
3,67.2,1400,RADHA NAGAR
3,75,1650,GANESHGURI
3,55,1242,BELTOLA
3,73.68,1842,BELTOLA
1,20,450,KAHILIPARA ROAD
3,71.35,1695,ULUBARI
4,91.53,2350,DHARAPUR
2,45.5,850,CHANDMARI
3,80.6,1550,ZOO ROAD
2,43,1050,KAHILIPARA
3,68,1450,GANESHGURI
3,54,1250,KAHILIPARA ROAD
3,40,932,DISPUR
2,40,950,DOWNTOWN
3,150,2000,BELTOLA
3,56.38,1170,KAHILIPARA
4,78.65,1958,AZARA
2,43,850,PATOR KUCHI
3,75,1105,GHORAMARA
2,38.4,960,BASISTHA
3,54,1200,KALA PAHAR
3,49.01,1181,LOKHRA
2,49.02,1043,SIX MILE
2,56.7,1134,DISPUR
2,48.38,1152,KAHILIPARA
1,22.05,630,AZARA
3,52.5,1250,LAL GANESH
3,79,1550,GANESHGURI
2,35,800,LAL GANESH
